machine_id,time,vibration,temperature,pressure,failure
M000,0,0.7052660334280239,59.8629920437577,30.849791595061998,0
M000,1,0.09650262203401472,59.47088649406856,30.53841250494986,0
M000,2,0.015950196652390558,58.43719689131083,30.847762474580072,0
M000,3,0.560517557997373,58.991533398849704,30.577079325265444,0
M000,4,0.11527096831167599,59.41179949680393,30.239764406885442,0
M000,5,0.17155951690560522,60.07233163111393,31.18458614430825,0
M000,6,0.5010808974822136,59.84458098026897,30.574601405682202,0
M000,7,0.22514382162201266,60.267191308180955,30.740895338353127,0
M000,8,0.23696104030684723,59.292695300319835,30.655337460821187,0
M000,9,0.2899433069719458,59.810707466497576,30.6467984473343,0
M000,10,0.5892516078369816,59.190911840696316,30.916086990972225,0
M000,11,1.3283498320613296,60.43029125979879,30.746416201311465,0
M000,12,0.7817932170156334,59.33892872622508,30.391029695393314,0
M000,13,0.7717840161166077,59.584400566826154,30.443352918628424,0
M000,14,0.29790549698782404,59.29819524531685,30.744574314626295,0
M000,15,0.7591287009513206,60.31734562745431,30.901555004122443,0
M000,16,0.8334001874462824,59.77988845260534,30.6029930591037,0
M000,17,0.17686384714406972,60.443294885550046,30.69714211384656,0
M000,18,0.5286038271378772,60.49332957000799,30.558046950209555,0
M000,19,0.9245664312483488,60.061752089822114,30.535122562797593,0
M000,20,0.6737956677062175,60.40995316453553,30.906807630879882,0
M000,21,1.167576052815168,60.10256202365429,31.427147788826026,0
M000,22,0.46523752116536604,59.74415220265003,30.74551572060574,0
M000,23,0.33813861084361074,60.47471720632734,30.94339503622586,0
M000,24,0.7918728334751293,59.696263170820885,30.468677763937826,0
M000,25,0.5718042212825611,60.34532703954325,30.730256253758366,0
M000,26,0.7029300674154733,60.23419556342003,31.009325868687096,0
M000,27,0.9305347523797267,60.15072784558922,31.05706096481065,0
M000,28,0.9284746652847456,59.848827124435346,30.92231363865549,0
M000,29,0.8212286080259822,59.829558535591254,31.0474352621286,0
M000,30,0.8330408473215154,58.695883373875894,30.866792126878444,0
M000,31,0.8243806988305662,59.888902969422666,30.893275803407395,0
M000,32,0.9156263475347874,60.15094081270501,30.403225551461546,0
M000,33,0.7049365632353812,60.75545076698728,30.80897837719836,0
M000,34,0.5082112049139459,59.52720548043981,30.619171302220057,0
M000,35,1.0633758820113657,59.85716675738363,30.690852077613396,0
M000,36,1.0562617543113393,60.322348447374395,30.775882809152915,0
